id,name,level,department_id
1,Software Engineer Trainee,1,1
2,Associate Software Engineer,2,1
3,Software Engineer,3,1
4,Senior Software Engineer,4,1
5,Tech Lead,5,1
6,Project Lead,6,1
7,Senior Tech Lead,7,1
8,Senior Project Lead,8,1
9,Associate Manager,9,1
10,Associate Architect,10,1
11,Manager,11,1
12,Architect,12,1
13,Senior Manager,13,1
14,Senior Architect,14,1
15,Delivery Manager,15,1
16,Practice Manager,16,1
17,Management Trainee,1,2
18,Associate,2,2
19,Executive,3,2
20,Senior Executive,4,2
21,Team Lead,5,2
22,Senior Team Lead,6,2
23,Associate Manager,7,2
24,Manager,8,2
25,Senior Manager 1,9,2
26,Senior Manager 2,10,2
27,Practice Associate Director,1,3
28,Associate Director,2,3
29,Principal Consultant,3,3
30,Practice Director,4,3
31,AVP,5,3
32,Vice President,6,3
33,Senior Vice President,7,3
34,CEO,8,3
35,Software Engineer Trainee,1,4
36,Associate Software Engineer,2,4
37,Software Engineer,3,4
38,Senior Software Engineer,4,4
39,Tech Lead,5,4
40,Project Lead,6,4
41,Senior Tech Lead,7,4
42,Senior Project Lead,8,4
43,Associate Manager,9,4
44,Associate Architect,10,4
45,Manager,11,4
46,Architect,12,4
47,Senior Manager,13,4
48,Senior Architect,14,4
49,Delivery Manager,15,4
50,Practice Manager,16,4
51,Management Trainee,1,5
52,Associate,2,5
53,Executive,3,5
54,Senior Executive,4,5
55,Team Lead,5,5
56,Senior Team Lead,6,5
57,Associate Manager,7,5
58,Manager,8,5
59,Senior Manager 1,9,5
60,Senior Manager 2,10,5
61,Practice Associate Director,1,6
62,Associate Director,2,6
63,Principal Consultant,3,6
64,Practice Director,4,6
65,AVP,5,6
66,Vice President,6,6
67,Senior Vice President,7,6
68,CEO,8,6
69,Software Engineer Trainee,1,7
70,Associate Software Engineer,2,7
71,Software Engineer,3,7
72,Senior Software Engineer,4,7
73,Tech Lead,5,7
74,Project Lead,6,7
75,Senior Tech Lead,7,7
76,Senior Project Lead,8,7
77,Associate Manager,9,7
78,Associate Architect,10,7
79,Manager,11,7
80,Architect,12,7
81,Senior Manager,13,7
82,Senior Architect,14,7
83,Delivery Manager,15,7
84,Practice Manager,16,7
85,Management Trainee,1,8
86,Associate,2,8
87,Executive,3,8
88,Senior Executive,4,8
89,Team Lead,5,8
90,Senior Team Lead,6,8
91,Associate Manager,7,8
92,Manager,8,8
93,Senior Manager 1,9,8
94,Senior Manager 2,10,8
95,Practice Associate Director,1,9
96,Associate Director,2,9
97,Principal Consultant,3,9
98,Practice Director,4,9
99,AVP,5,9
100,Vice President,6,9
101,Senior Vice President,7,9
102,CEO,8,9
